name,lat,lon
,-30.0,119.25
,-30.0,119.5
,-30.0,119.75
,-30.0,120.0
,-30.0,120.25
,-30.0,120.5
,-30.0,120.75
,-30.0,121.0
,-30.0,121.25
,-30.0,121.5
,-30.0,121.75
,-30.0,122.0
,-30.0,122.25
,-30.0,122.5
,-30.0,122.75
,-30.0,123.0
,-30.0,123.25
,-30.0,123.5
,-30.0,123.75
,-30.0,124.0
,-30.25,113.0
,-30.25,113.25
,-30.25,113.5
,-30.25,113.75
,-30.25,114.0
,-30.25,114.25
,-30.25,114.5
,-30.25,114.75
,-30.25,115.0
,-30.25,115.25
,-30.25,115.5
,-30.25,115.75
,-30.25,116.0
,-30.25,116.25
,-30.25,116.5
,-30.25,116.75
,-30.25,117.0
,-30.25,117.25
,-30.25,117.5
,-30.25,117.75
,-30.25,118.0
,-30.25,118.25
,-30.25,118.5
,-30.25,118.75
,-30.25,119.0
,-30.25,119.25
,-30.25,119.5
,-30.25,119.75
,-30.25,120.0
,-30.25,120.25
,-30.25,120.5
,-30.25,120.75
,-30.25,121.0
,-30.25,121.25
,-30.25,121.5
,-30.25,121.75
,-30.25,122.0
,-30.25,122.25
,-30.25,122.5
,-30.25,122.75
,-30.25,123.0
,-30.25,123.25
,-30.25,123.5
,-30.25,123.75
,-30.25,124.0
,-30.5,113.0
,-30.5,113.25
,-30.5,113.5
,-30.5,113.75
,-30.5,114.0
,-30.5,114.25
,-30.5,114.5
,-30.5,114.75
,-30.5,115.0
,-30.5,115.25
,-30.5,115.5
,-30.5,115.75
,-30.5,116.0
,-30.5,116.25
,-30.5,116.5
,-30.5,116.75
,-30.5,117.0
,-30.5,117.25
,-30.5,117.5
,-30.5,117.75
,-30.5,118.0
,-30.5,118.25
,-30.5,118.5
,-30.5,118.75
,-30.5,119.0
,-30.5,119.25
,-30.5,119.5
,-30.5,119.75
,-30.5,120.0
,-30.5,120.25
,-30.5,120.5
,-30.5,120.75
,-30.5,121.0
,-30.5,121.25
,-30.5,121.5
,-30.5,121.75
,-30.5,122.0
,-30.5,122.25
,-30.5,122.5
,-30.5,122.75
,-30.5,123.0
,-30.5,123.25
,-30.5,123.5
,-30.5,123.75
,-30.5,124.0
,-30.75,113.0
,-30.75,113.25
,-30.75,113.5
,-30.75,113.75
,-30.75,114.0
,-30.75,114.25
,-30.75,114.5
,-30.75,114.75
,-30.75,115.0
,-30.75,115.25
,-30.75,115.5
,-30.75,115.75
,-30.75,116.0
,-30.75,116.25
,-30.75,116.5
,-30.75,116.75
,-30.75,117.0
,-30.75,117.25
,-30.75,117.5
,-30.75,117.75
,-30.75,118.0
,-30.75,118.25
,-30.75,118.5
,-30.75,118.75
,-30.75,119.0
,-30.75,119.25
,-30.75,119.5
,-30.75,119.75
,-30.75,120.0
,-30.75,120.25
,-30.75,120.5
,-30.75,120.75
,-30.75,121.0
,-30.75,121.25
,-30.75,121.5
,-30.75,121.75
,-30.75,122.0
,-30.75,122.25
,-30.75,122.5
,-30.75,122.75
,-30.75,123.0
,-30.75,123.25
,-30.75,123.5
,-30.75,123.75
,-30.75,124.0
,-31.0,113.0
,-31.0,113.25
,-31.0,113.5
,-31.0,113.75
,-31.0,114.0
,-31.0,114.25
,-31.0,114.5
,-31.0,114.75
,-31.0,115.0
,-31.0,115.25
,-31.0,115.5
,-31.0,115.75
,-31.0,116.0
,-31.0,116.25
,-31.0,116.5
,-31.0,116.75
,-31.0,117.0
,-31.0,117.25
,-31.0,117.5
,-31.0,117.75
,-31.0,118.0
,-31.0,118.25
,-31.0,118.5
,-31.0,118.75
,-31.0,119.0
,-31.0,119.25
,-31.0,119.5
,-31.0,119.75
,-31.0,120.0
,-31.0,120.25
,-31.0,120.5
,-31.0,120.75
,-31.0,121.0
,-31.0,121.25
,-31.0,121.5
,-31.0,121.75
